policy,scope,key_bytes,prediction_bytes,capacity,pool_keys,threads,hit_percent,repetition,ops_per_thread,total_ops,makespan_us,throughput_ops_per_second,ns_per_op_mean,ns_per_op_min_thread,ns_per_op_max_thread,hits,misses,observed_hit_rate,expected_hit_rate,status
LRU,shared,300,64,64,128,4,0,0,200000,800000,1.59041e+06,503015,7858.62,7761.14,7952.05,0,800000,0,0,ok
LRU,shared,300,64,64,128,4,0,1,200000,800000,1.5945e+06,501726,7917.11,7782.3,7972.48,0,800000,0,0,ok
LRU,shared,300,64,64,128,4,0,2,200000,800000,1.6575e+06,482654,8169.96,7852.52,8287.51,0,800000,0,0,ok
LRU,private,300,64,64,128,4,50,0,200000,800000,66171.9,1.20897e+07,324.991,313.584,330.859,400000,400000,0.5,0.5,ok
LRU,private,300,64,64,128,4,50,1,200000,800000,66227.4,1.20796e+07,318.282,311.757,331.137,400000,400000,0.5,0.5,ok
LRU,private,300,64,64,128,4,50,2,200000,800000,66956.5,1.19481e+07,317.923,304.477,334.782,400000,400000,0.5,0.5,ok
LRU,shared,300,64,64,128,4,50,0,200000,800000,992143,806336,4917.05,4798.7,4960.71,399993,400007,0.499991,0.5,inexact
LRU,shared,300,64,64,128,4,50,1,200000,800000,999951,800039,4988.19,4976.69,4999.76,399983,400017,0.499979,0.5,inexact
LRU,shared,300,64,64,128,4,50,2,200000,800000,989220,808718,4927.93,4888.97,4946.1,399976,400024,0.49997,0.5,inexact
LRU,private,300,64,64,128,4,100,0,200000,800000,24867.9,3.217e+07,117.234,113.739,124.339,799996,4,0.999995,0.999995,ok
LRU,private,300,64,64,128,4,100,1,200000,800000,31331.7,2.55333e+07,144.225,127.875,156.658,799996,4,0.999995,0.999995,ok
LRU,private,300,64,64,128,4,100,2,200000,800000,31087,2.57343e+07,140.484,122.171,155.435,799996,4,0.999995,0.999995,ok
LRU,shared,300,64,64,128,4,100,0,200000,800000,170643,4.68815e+06,802.927,774.595,853.215,799996,4,0.999995,0.999995,ok
LRU,shared,300,64,64,128,4,100,1,200000,800000,244364,3.2738e+06,1201.58,1181.01,1221.82,799996,4,0.999995,0.999995,ok
LRU,shared,300,64,64,128,4,100,2,200000,800000,255537,3.13066e+06,1200.8,1079.43,1277.68,799996,4,0.999995,0.999995,ok
LRU,private,300,64,64,128,8,0,0,200000,1600000,154232,1.0374e+07,712.581,584.767,771.161,0,1600000,0,0,ok
LRU,private,300,64,64,128,8,0,1,200000,1600000,151822,1.05387e+07,656.327,566.892,759.11,0,1600000,0,0,ok
LRU,private,300,64,64,128,8,0,2,200000,1600000,135452,1.18123e+07,569.585,517.073,677.258,0,1600000,0,0,ok
LRU,shared,300,64,64,128,8,0,0,200000,1600000,3.14423e+06,508869,15278.1,14827.7,15721.2,0,1600000,0,0,ok
LRU,shared,300,64,64,128,8,0,1,200000,1600000,2.97999e+06,536914,14335.5,13417.9,14900,0,1600000,0,0,ok
LRU,shared,300,64,64,128,8,0,2,200000,1600000,3.70023e+06,432406,18349.9,17833.6,18501.1,0,1600000,0,0,ok
LRU,private,300,64,64,128,8,50,0,200000,1600000,90960.4,1.75901e+07,360.875,308.8,454.802,800000,800000,0.5,0.5,ok
LRU,private,300,64,64,128,8,50,1,200000,1600000,83745.3,1.91056e+07,361.883,310.297,418.726,800000,800000,0.5,0.5,ok
LRU,private,300,64,64,128,8,50,2,200000,1600000,77140.2,2.07415e+07,346.77,324.359,385.701,800000,800000,0.5,0.5,ok
LRU,shared,300,64,64,128,8,50,0,200000,1600000,2.40496e+06,665291,11950.9,11706,12024.8,799947,800053,0.499967,0.5,inexact
LRU,shared,300,64,64,128,8,50,1,200000,1600000,2.28952e+06,698838,11332.1,11067.1,11447.6,799637,800363,0.499773,0.5,inexact
LRU,shared,300,64,64,128,8,50,2,200000,1600000,1.97668e+06,809440,9493.29,8099.52,9883.38,799247,800753,0.499529,0.5,inexact
LRU,private,300,64,64,128,8,100,0,200000,1600000,29123.9,5.49377e+07,104.074,88.6302,145.62,1599992,8,0.999995,0.999995,ok
LRU,private,300,64,64,128,8,100,1,200000,1600000,27519.9,5.81397e+07,104.357,88.2274,137.6,1599992,8,0.999995,0.999995,ok
LRU,private,300,64,64,128,8,100,2,200000,1600000,41238.1,3.8799e+07,141.649,90.6012,206.191,1599992,8,0.999995,0.999995,ok
LRU,shared,300,64,64,128,8,100,0,200000,1600000,951699,1.6812e+06,4680.42,4380.55,4758.49,1599992,8,0.999995,0.999995,ok
LRU,shared,300,64,64,128,8,100,1,200000,1600000,897231,1.78326e+06,4403.6,4271.67,4486.15,1599992,8,0.999995,0.999995,ok
LRU,shared,300,64,64,128,8,100,2,200000,1600000,878354,1.82159e+06,4321.39,4156.93,4391.77,1599992,8,0.999995,0.999995,ok
LRU,private,300,64,64,128,16,0,0,200000,3200000,150468,2.12669e+07,619.74,487.573,752.342,0,3200000,0,0,ok
LRU,private,300,64,64,128,16,0,1,200000,3200000,138651,2.30796e+07,578.934,479.748,693.253,0,3200000,0,0,ok
LRU,private,300,64,64,128,16,0,2,200000,3200000,137654,2.32467e+07,585.385,476.795,688.269,0,3200000,0,0,ok
LRU,shared,300,64,64,128,16,0,0,200000,3200000,7.62391e+06,419732,37500,36493.9,38119.5,0,3200000,0,0,ok
LRU,shared,300,64,64,128,16,0,1,200000,3200000,7.57146e+06,422640,37356.9,35613.6,37857.3,0,3200000,0,0,ok
LRU,shared,300,64,64,128,16,0,2,200000,3200000,7.71225e+06,414924,37914.3,35709.4,38561.2,0,3200000,0,0,ok
LRU,private,300,64,64,128,16,50,0,200000,3200000,129081,2.47906e+07,470.405,363.419,645.406,1600000,1600000,0.5,0.5,ok
LRU,private,300,64,64,128,16,50,1,200000,3200000,102877,3.1105e+07,449.791,366.516,514.386,1600000,1600000,0.5,0.5,ok
LRU,private,300,64,64,128,16,50,2,200000,3200000,116789,2.73998e+07,489.969,415.358,583.947,1600000,1600000,0.5,0.5,ok
LRU,shared,300,64,64,128,16,50,0,200000,3200000,5.25278e+06,609201,25700.5,24429.7,26263.9,1597626,1602374,0.499258,0.5,inexact
LRU,shared,300,64,64,128,16,50,1,200000,3200000,6.28045e+06,509517,31255.7,30867.9,31402.3,1598730,1601270,0.499603,0.5,inexact
LRU,shared,300,64,64,128,16,50,2,200000,3200000,8.49355e+06,376756,41073,37513.1,42467.8,1595692,1604308,0.498654,0.5,inexact
